t;y1;y2;y3
0.1224422760;0.9999877243;0.0000122423;0.0000000334
0.1227723090;0.9999876913;0.0000122753;0.0000000334
0.1231023420;0.9999876583;0.0000123083;0.0000000334
0.1234323750;0.9999876253;0.0000123413;0.0000000333
0.1237624080;0.9999875923;0.0000123744;0.0000000333
0.1240924410;0.9999875593;0.0000124074;0.0000000333
0.1244224740;0.9999875263;0.0000124404;0.0000000333
0.1247525070;0.9999874933;0.0000124734;0.0000000333
0.1250825400;0.9999874603;0.0000125064;0.0000000333
0.1254125730;0.9999874273;0.0000125393;0.0000000333
0.1257426060;0.9999873943;0.0000125724;0.0000000333
0.1260726390;0.9999873613;0.0000126053;0.0000000333
0.1264026720;0.9999873283;0.0000126383;0.0000000333
0.1267327050;0.9999872953;0.0000126713;0.0000000333
0.1270627380;0.9999872624;0.0000127043;0.0000000334
0.1273927710;0.9999872294;0.0000127373;0.0000000334
0.1277228040;0.9999871964;0.0000127703;0.0000000334
0.1280528370;0.9999871634;0.0000128033;0.0000000334
0.1283828700;0.9999871304;0.0000128363;0.0000000334
0.1287129030;0.9999870974;0.0000128693;0.0000000334
0.1290429360;0.9999870644;0.0000129023;0.0000000333
0.1293729690;0.9999870314;0.0000129353;0.0000000333
0.1297030020;0.9999869984;0.0000129683;0.0000000333
0.1300330350;0.9999869654;0.0000130013;0.0000000333
0.1303630680;0.9999869324;0.0000130343;0.0000000333
0.1306931010;0.9999868994;0.0000130673;0.0000000333
0.1310231340;0.9999868664;0.0000131003;0.0000000333
0.1313531670;0.9999868334;0.0000131333;0.0000000333
0.1316832000;0.9999868004;0.0000131663;0.0000000333
0.1320132330;0.9999867674;0.0000131993;0.0000000333
0.1323432660;0.9999867344;0.0000132323;0.0000000333
0.1326732990;0.9999867014;0.0000132653;0.0000000333
0.1330033320;0.9999866684;0.0000132983;0.0000000333
0.1333333650;0.9999866354;0.0000133313;0.0000000333
0.1336633980;0.9999866024;0.0000133643;0.0000000333
0.1339934310;0.9999865694;0.0000133973;0.0000000333
0.1343234640;0.9999865364;0.0000134303;0.0000000333
0.1346534970;0.9999865034;0.0000134633;0.0000000333
0.1349835300;0.9999864704;0.0000134963;0.0000000333
0.1353135630;0.9999864374;0.0000135293;0.0000000333
0.1356435960;0.9999864044;0.0000135623;0.0000000333
0.1359736290;0.9999863714;0.0000135953;0.0000000333
0.1363036620;0.9999863384;0.0000136282;0.0000000334
0.1366336950;0.9999863054;0.0000136612;0.0000000334
0.1369637280;0.9999862724;0.0000136942;0.0000000334
0.1372937610;0.9999862394;0.0000137272;0.0000000334
0.1376237940;0.9999862064;0.0000137602;0.0000000334
0.1379538270;0.9999861734;0.0000137932;0.0000000334
0.1382838600;0.9999861404;0.0000138262;0.0000000334
0.1386138930;0.9999861074;0.0000138592;0.0000000334
0.1389439260;0.9999860744;0.0000138922;0.0000000334
0.1392739590;0.9999860414;0.0000139252;0.0000000333
0.1396039920;0.9999860084;0.0000139583;0.0000000333
0.1399340250;0.9999859754;0.0000139913;0.0000000333
0.1402640580;0.9999859424;0.0000140243;0.0000000333
0.1405940910;0.9999859094;0.0000140573;0.0000000333
0.1409241240;0.9999858764;0.0000140903;0.0000000333
0.1412541570;0.9999858434;0.0000141233;0.0000000333
0.1415841900;0.9999858104;0.0000141563;0.0000000333
0.1419142230;0.9999857774;0.0000141892;0.0000000333
0.1422442560;0.9999857444;0.0000142222;0.0000000333
0.1425742890;0.9999857114;0.0000142552;0.0000000333
0.1429043220;0.9999856784;0.0000142882;0.0000000334
0.1432343550;0.9999856454;0.0000143212;0.0000000334
0.1435643880;0.9999856124;0.0000143542;0.0000000334
0.1438944210;0.9999855795;0.0000143872;0.0000000334
0.1442244540;0.9999855465;0.0000144202;0.0000000334
0.1445544870;0.9999855135;0.0000144532;0.0000000334
0.1448845200;0.9999854805;0.0000144862;0.0000000334
0.1452145530;0.9999854475;0.0000145192;0.0000000334
0.1455445860;0.9999854145;0.0000145522;0.0000000334
0.1458746190;0.9999853815;0.0000145852;0.0000000333
0.1462046520;0.9999853485;0.0000146182;0.0000000333
0.1465346850;0.9999853155;0.0000146512;0.0000000333
0.1468647180;0.9999852825;0.0000146842;0.0000000333
0.1471947510;0.9999852495;0.0000147172;0.0000000333
0.1475247840;0.9999852165;0.0000147502;0.0000000333
0.1478548170;0.9999851835;0.0000147832;0.0000000333
0.1481848500;0.9999851505;0.0000148162;0.0000000333
0.1485148830;0.9999851175;0.0000148491;0.0000000334
0.1488449160;0.9999850845;0.0000148821;0.0000000334
0.1491749490;0.9999850515;0.0000149151;0.0000000334
0.1495049820;0.9999850185;0.0000149481;0.0000000334
0.1498350150;0.9999849855;0.0000149811;0.0000000334
0.1501650480;0.9999849525;0.0000150141;0.0000000334
0.1504950810;0.9999849195;0.0000150471;0.0000000334
0.1508251140;0.9999848865;0.0000150801;0.0000000334
0.1511551470;0.9999848535;0.0000151131;0.0000000334
0.1514851800;0.9999848205;0.0000151462;0.0000000333
0.1518152130;0.9999847875;0.0000151792;0.0000000333
0.1521452460;0.9999847545;0.0000152122;0.0000000333
0.1524752790;0.9999847215;0.0000152452;0.0000000333
0.1528053120;0.9999846885;0.0000152782;0.0000000333
0.1531353450;0.9999846555;0.0000153112;0.0000000333
0.1534653780;0.9999846225;0.0000153442;0.0000000333
0.1537954110;0.9999845895;0.0000153772;0.0000000333
0.1541254440;0.9999845565;0.0000154102;0.0000000333
0.1544554770;0.9999845235;0.0000154432;0.0000000333
0.1547855100;0.9999844905;0.0000154761;0.0000000333
0.1551155430;0.9999844575;0.0000155091;0.0000000334
0.1554455760;0.9999844245;0.0000155421;0.0000000334
0.1557756090;0.9999843915;0.0000155751;0.0000000334
0.1561056420;0.9999843585;0.0000156081;0.0000000334
0.1564356750;0.9999843255;0.0000156411;0.0000000334
0.1567657080;0.9999842925;0.0000156741;0.0000000334
0.1570957410;0.9999842595;0.0000157071;0.0000000334
